partnumber,VehicleRawProperties_asli,VehicleRawProperties,make,Model,engine,Years,VehicleDataStandard,TypeId,ImportId,ImportTable,VehicleImportRegion,UvdbFromYearID,UvdbToYearID,Action,format_data,format_data
470036,JEEP GrandCherokee 3.0D 10-,JEEP GrandCherokee 3.0D ,,,,2010,,,,,,,,,"{""make"": ""J"", ""model"": ""E"", ""engine"": ""E""}","{""make"": ""J"", ""model"": ""E"", ""engine"": ""E""}"
470037,JEEP GrandCherokee 10-,JEEP GrandCherokee ,,,,2010,,,,,,,,,"{""make"": ""J"", ""model"": ""E"", ""engine"": ""E""}","{""make"": ""J"", ""model"": ""E"", ""engine"": ""E""}"
470038,PORSCHE Macan 14-,PORSCHE Macan ,,,,2014,,,,,,,,,"{""make"": ""P"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""P"", ""model"": ""O"", ""engine"": ""R""}"
470039,PORSCHE Boxter 2.5 12-,PORSCHE Boxter 2.5 ,,,,2012,,,,,,,,,"{""make"": ""P"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""P"", ""model"": ""O"", ""engine"": ""R""}"
47004,FORD Mondeo 1.8 01-,FORD Mondeo 1.8 ,,,,2001,,,,,,,,,"{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""F"", ""model"": ""O"", ""engine"": ""R""}"
470040,BMW 1/3series 2.0 11-,BMW 1/3series 2.0 ,,,,2011,,,,,,,,,"{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}","{""make"": ""B"", ""model"": ""M"", ""engine"": ""W""}"
470041,PORSCHE 911 3.8 12-,PORSCHE 911 3.8 ,,,,2012,,,,,,,,,"{""make"": ""P"", ""model"": ""O"", ""engine"": ""R""}","{""make"": ""P"", ""model"": ""O"", ""engine"": ""R""}"
470042,CHEVROLET Camaro 6.2 16-,CHEVROLET Camaro 6.2 ,,,,2016,,,,,,,,,"{""make"": ""C"", ""model"": ""H"", ""engine"": ""E""}","{""make"": ""C"", ""model"": ""H"", ""engine"": ""E""}"
470043,JEEP Wrangler 2.0 18-,JEEP Wrangler 2.0 ,,,,2018,,,,,,,,,"{""make"": ""J"", ""model"": ""E"", ""engine"": ""E""}","{""make"": ""J"", ""model"": ""E"", ""engine"": ""E""}"
470044,OPEL Insignia 17-,OPEL Insignia ,,,,2017,,,,,,,,,"{""make"": ""O"", ""model"": ""P"", ""engine"": ""E""}","{""make"": ""O"", ""model"": ""P"", ""engine"": ""E""}"
470045,VOLVO XC40 17-,VOLVO XC40 ,,,,2017,,,,,,,,,"{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}","{""make"": ""V"", ""model"": ""O"", ""engine"": ""L""}"
470046,AUDI A4 2.0D 15-,AUDI A4 2.0D ,,,,2015,,,,,,,,,"{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}","{""make"": ""A"", ""model"": ""U"", ""engine"": ""D""}"
